Sample	Replicate	Expected	Ratio	Lower	Upper	p.value
501	1	1.30645161290323	3.75	1.95098364877318	7.78810113968842	0.000687507625581867
501	2	0.857142857142857	1.08	0.603369614483535	1.94014611263544	0.408195809471487
505	1	1.95402298850575	37	6.24118048840114	1500.4198833194	6.2489602717152e-06
505	2	1.87037037037037	16	4.08199263190655	137.794095624209	0.000183874404330999
508	1	0.824675324675325	2.6875	1.48327793815629	5.11124693990407	1.97578498481912e-05
508	2	0.742424242424242	1.59259259259259	0.961936184557346	2.68025847980027	0.00226681468909303
509	1	0.032280701754386	0.954545454545455	0.499365814436973	1.81970703242845	1.35126849767259e-20
509	2	0.0270175438596491	0.971428571428571	0.587823851347953	1.6037714300325	4.34383303270117e-35
512	1	1.33917396745932	3.71428571428571	1.57015944353576	10.1353311315314	0.0130752641219644
512	2	1.11123986095017	4.23076923076923	2.28189773281286	8.44190026002678	2.10384596012363e-06
513	1	0.703125	2.08333333333333	1.00862389204889	4.55127958832587	0.00137820918363894
513	2	1.10775862068966	2.46875	1.61809606596161	3.84820654711521	8.26839791046869e-05
